,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
175,23.0,5.0,66.0,46.0
176,3.0,5.0,138.0,40.0
177,3.0,5.0,342.0,40.0
178,23.0,5.0,349.0,40.0
179,20.0,5.0,349.0,40.0
180,23.0,5.0,138.0,40.0
181,23.0,5.0,66.0,40.0
182,3.0,5.0,138.0,10.0
183,3.0,5.0,342.0,10.0
184,23.0,5.0,349.0,10.0
185,20.0,5.0,349.0,10.0
186,23.0,5.0,138.0,10.0
187,23.0,5.0,66.0,10.0
188,3.0,5.0,138.0,46.0
189,3.0,5.0,342.0,46.0
190,23.0,5.0,349.0,46.0
191,20.0,5.0,349.0,46.0
192,23.0,5.0,138.0,46.0
193,23.0,5.0,66.0,46.0
194,7.0,4.0,338.0,61.0
195,8.0,4.0,206.0,61.0
196,7.0,4.0,338.0,13.0
197,8.0,4.0,206.0,13.0
198,7.0,4.0,338.0,22.0
199,8.0,4.0,206.0,22.0
200,7.0,4.0,338.0,62.0
201,8.0,4.0,206.0,62.0
202,7.0,4.0,338.0,61.0
203,8.0,4.0,206.0,61.0
204,7.0,4.0,338.0,13.0
205,8.0,4.0,206.0,13.0
206,7.0,4.0,338.0,22.0
207,8.0,4.0,206.0,22.0
208,7.0,4.0,338.0,62.0
209,8.0,4.0,206.0,62.0
210,8.0,4.0,299.0,61.0
211,8.0,4.0,299.0,61.0
212,8.0,4.0,86.0,61.0
213,8.0,4.0,346.0,61.0
214,8.0,4.0,299.0,61.0
215,8.0,4.0,299.0,61.0
216,8.0,4.0,86.0,61.0
217,8.0,4.0,346.0,61.0
218,8.0,4.0,299.0,61.0
219,8.0,4.0,299.0,61.0
220,8.0,4.0,86.0,61.0
221,8.0,4.0,346.0,61.0
222,8.0,4.0,299.0,61.0
223,8.0,4.0,299.0,61.0
224,8.0,4.0,86.0,61.0
225,8.0,4.0,346.0,61.0
226,8.0,4.0,300.0,61.0
227,8.0,4.0,161.0,61.0
228,22.0,4.0,376.0,61.0
229,25.0,4.0,157.0,61.0
230,25.0,4.0,403.0,61.0
231,8.0,4.0,300.0,22.0
232,8.0,4.0,161.0,22.0
233,22.0,4.0,376.0,22.0
234,25.0,4.0,157.0,22.0
235,25.0,4.0,403.0,22.0
236,8.0,4.0,300.0,62.0
237,8.0,4.0,161.0,62.0
238,22.0,4.0,376.0,62.0
239,25.0,4.0,157.0,62.0
240,25.0,4.0,403.0,62.0
241,8.0,4.0,300.0,77.0
242,8.0,4.0,161.0,77.0
243,22.0,4.0,376.0,77.0
244,25.0,4.0,157.0,77.0
245,25.0,4.0,403.0,77.0
246,8.0,4.0,300.0,61.0
247,8.0,4.0,161.0,61.0
248,22.0,4.0,376.0,61.0
249,25.0,4.0,157.0,61.0
250,25.0,4.0,403.0,61.0
251,8.0,4.0,300.0,22.0
252,8.0,4.0,161.0,22.0
253,22.0,4.0,376.0,22.0
254,25.0,4.0,157.0,22.0
255,25.0,4.0,403.0,22.0
256,8.0,4.0,300.0,62.0
257,8.0,4.0,161.0,62.0
258,22.0,4.0,376.0,62.0
259,25.0,4.0,157.0,62.0
260,25.0,4.0,403.0,62.0
261,8.0,4.0,300.0,77.0
262,8.0,4.0,161.0,77.0
263,22.0,4.0,376.0,77.0
264,25.0,4.0,157.0,77.0
265,25.0,4.0,403.0,77.0
266,21.0,2.0,46.0,71.0
267,21.0,2.0,46.0,40.0
268,21.0,2.0,46.0,61.0
269,21.0,2.0,46.0,22.0
270,21.0,2.0,46.0,62.0
271,21.0,2.0,46.0,71.0
272,21.0,2.0,46.0,40.0
273,21.0,2.0,46.0,61.0
274,21.0,2.0,46.0,22.0
275,21.0,2.0,46.0,62.0
